diff,group,variable,MOM6-CICE6_cice_config/ice_in,ACCESS-OM2_1deg_jra55_ryf/ice/cice_in.nml,MOM6-CICE6_1deg_jra55do_ryf/ice_in
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_nml"", ""&grid_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dxrect"", ""dxrect"")",,,3000000.0
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_nml"", ""&grid_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=dyrect"", ""dyrect"")",,,3000000.0
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_nml"", ""&grid_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_atm"", ""grid_atm"")",A,,A
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_nml"", ""&grid_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_file"", ""grid_file"")",./input/grid.nc,RESTART/grid.nc,./input/grid.nc
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_nml"", ""&grid_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_format"", ""grid_format"")",nc,nc,nc
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_nml"", ""&grid_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_ice"", ""grid_ice"")",B,,B
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_nml"", ""&grid_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_ocn"", ""grid_ocn"")",A,,A
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_nml"", ""&grid_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_type"", ""grid_type"")",tripole,tripole,tripole
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_nml"", ""&grid_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=gridcpl_file"", ""gridcpl_file"")",,,unknown_gridcpl_file
,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_nml"", ""&grid_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=kcatbound"", ""kcatbound"")",0,0,0
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_nml"", ""&grid_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=kmt_file"", ""kmt_file"")",./input/kmt.nc,RESTART/kmt.nc,./input/kmt.nc
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_nml"", ""&grid_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=nblyr"", ""nblyr"")",1,,3
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_nml"", ""&grid_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=ncat"", ""ncat"")",5,,5
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_nml"", ""&grid_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=nfsd"", ""nfsd"")",1,,1
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_nml"", ""&grid_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=nilyr"", ""nilyr"")",4,,4
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_nml"", ""&grid_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=nslyr"", ""nslyr"")",1,,1
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_nml"", ""&grid_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=orca_halogrid"", ""orca_halogrid"")",,,False
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=grid_nml"", ""&grid_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=use_bathymetry"", ""use_bathymetry"")",,,False
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=ice_prescribed_nml"", ""&ice_prescribed_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=prescribed_ice_mode"", ""prescribed_ice_mode"")",,,False
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=ice_prescribed_nml"", ""&ice_prescribed_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=stream_datafiles"", ""stream_datafiles"")",,,
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=ice_prescribed_nml"", ""&ice_prescribed_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=stream_mapalgo"", ""stream_mapalgo"")",,,na
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=ice_prescribed_nml"", ""&ice_prescribed_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=stream_meshfile"", ""stream_meshfile"")",,,
*,"=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=ice_prescribed_nml"", ""&ice_prescribed_nml"")","=HYPERLINK(""https://cice-consortium-cice.readthedocs.io/en/main/search.html?q=stream_varname"", ""stream_varname"")",,,ice_cov
