diff,group,variable,ACCESS-OM2_01deg_jra55v13_ryf9091/ocean/input.nml,ACCESS-OM2_release-01deg_jra55_ryf/ocean/input.nml
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_convect_nml"", ""&ocean_convect_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=use_this_module"", ""use_this_module"")",False,False
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_coriolis_nml"", ""&ocean_coriolis_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=acor"", ""acor"")",0.5,0.5
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_coriolis_nml"", ""&ocean_coriolis_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=use_this_module"", ""use_this_module"")",True,True
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_density_nml"", ""&ocean_density_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=eos_linear"", ""eos_linear"")",False,False
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_density_nml"", ""&ocean_density_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=eos_preteos10"", ""eos_preteos10"")",True,True
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_density_nml"", ""&ocean_density_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=layer_nk"", ""layer_nk"")",80,80
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_density_nml"", ""&ocean_density_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=neutralrho_max"", ""neutralrho_max"")",1038.0,1038.0
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_density_nml"", ""&ocean_density_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=neutralrho_min"", ""neutralrho_min"")",1028.0,1028.0
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_density_nml"", ""&ocean_density_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=potrho_max"", ""potrho_max"")",1038.0,1038.0
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_density_nml"", ""&ocean_density_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=potrho_min"", ""potrho_min"")",1028.0,1028.0
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_domains_nml"", ""&ocean_domains_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=max_tracers"", ""max_tracers"")",5,5
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_form_drag_nml"", ""&ocean_form_drag_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=use_this_module"", ""use_this_module"")",False,False
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_frazil_nml"", ""&ocean_frazil_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=debug_this_module"", ""debug_this_module"")",False,
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_frazil_nml"", ""&ocean_frazil_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=frazil_only_in_surface"", ""frazil_only_in_surface"")",False,False
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_frazil_nml"", ""&ocean_frazil_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=freezing_temp_preteos10"", ""freezing_temp_preteos10"")",True,True
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_frazil_nml"", ""&ocean_frazil_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=freezing_temp_simple"", ""freezing_temp_simple"")",False,False
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_frazil_nml"", ""&ocean_frazil_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=use_this_module"", ""use_this_module"")",True,True
*,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_grids_nml"", ""&ocean_grids_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=debug_this_module"", ""debug_this_module"")",False,
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_increment_eta_nml"", ""&ocean_increment_eta_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=use_this_module"", ""use_this_module"")",False,False
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_increment_tracer_nml"", ""&ocean_increment_tracer_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=use_this_module"", ""use_this_module"")",False,False
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_increment_velocity_nml"", ""&ocean_increment_velocity_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=use_this_module"", ""use_this_module"")",False,False
,"=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=ocean_lap_friction_nml"", ""&ocean_lap_friction_nml"")","=HYPERLINK(""https://github.com/mom-ocean/MOM5/search?q=lap_friction_scheme"", ""lap_friction_scheme"")",general,general
